shortnam,catho80,muslim80,lat_abst,no_cpm80,f_brit,f_french,avexpr,sjlofr,logpgp95,logem4,baseco
TUR,.1,99.199997,.43333334,.70000303,0,0,7.4545455,1,8.6411791,,
TWN,,,,,,,9.227273,,,,
TZA,28.200001,32.5,.06666667,28.099998,0,0,6.6363635,0,6.253829,5.6347895,1
UGA,49.599998,6.5999999,.011111111,41.900002,1,0,4.4545455,0,6.9660244,5.6347895,1
UKR,0,0,.54444444,100,0,0,,0,7.8119736,,
URY,59.5,0,.36666667,38.599998,0,0,7,1,9.0312138,4.2626801,1
USA,30,.80000001,.42222223,25.600002,1,0,10,0,10.21574,2.7080503,1
UZB,0,88,.45555556,12,0,0,,0,7.8079166,,
VEN,94.800003,0,.088888891,4.1999969,0,0,7.1363635,1,9.0710783,4.3579903,1
VNM,3.9000001,1,.17777778,94.900002,0,1,6.409091,1,7.2793188,4.9416423,1
YEM,0,99.5,.16666667,.40000001,0,0,6.3636365,1,6.6463904,,
YUG,4,19,.48888889,76,0,0,6.318182,0,,,
ZAF,10.4,1.3,.32222223,49.299999,1,0,6.8636365,0,8.885994,2.74084,1
ZAR,48.400002,1.4,0,21.199999,0,0,3.5,1,6.8669333,5.480639,1
ZMB,26.200001,.30000001,.16666667,41.599998,1,0,6.6363635,0,6.8134446,,
ZWE,14.4,.89999998,.22222222,63.299999,1,0,6,0,7.6962128,,
